time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl
66560,1001.0151515151515,-164887.91264010608,689,96,65,7898958.0,-0.0017927531705936417,640,-7.134604805707932,0.0003,0.0,1.008233904838562,0.0,0.2,17782586.8,0.0011130916
67584,1001.0149253731344,-166143.9696308657,699,96,66,9936453.0,-0.0013597651501186191,650,-7.135073125362396,0.0003,0.0,1.008117914199829,-1.0728836059570312e-06,0.2,19544469.125,0.0006096768
68608,1001.0147058823529,-167114.4502635294,710,96,67,9321726.0,-0.002113682421622798,660,-7.135132455825806,0.0003,0.0,1.0083675384521484,-1.1920928955078125e-07,0.2,18177298.075,0.001106611
69632,1001.0144927536232,-168386.88861310144,720,96,68,7004774.0,-0.001236967387376353,670,-7.13541100025177,0.0003,0.0,1.0081031322479248,-2.384185791015625e-07,0.2,15725094.95,0.0006655006
70656,1001.0142857142857,-168837.40990787142,731,96,69,9830438.0,-0.0016275317466352135,680,-7.134834283590317,0.0003,0.0,1.0082666873931885,-1.1920928955078125e-07,0.2,18414858.225,0.0008630179
71680,1001.0140845070423,-169480.02227877468,742,96,70,5539083.0,-0.00545945621561259,690,-7.1352195799350735,0.0003,0.0091796875,1.008122205734253,-1.1920928955078125e-07,0.2,11657454.7625,0.0049362523
72704,1001.0138888888889,-169974.76487929167,752,96,71,8337935.0,-0.002514821488875896,700,-7.133089339733123,0.0003,0.0,1.0074551105499268,-1.3113021850585938e-06,0.2,16459099.8,0.0018343425
73728,1001.013698630137,-170262.0971649315,762,96,72,5174972.5,-0.0021446246246341616,710,-7.130098694562912,0.0003,0.0,1.0070070028305054,-1.1920928955078125e-07,0.2,10079933.3,0.0018261056
74752,1001.0135135135135,-170227.01326293245,772,96,73,5775746.0,-0.003377679066034034,720,-7.128810787200928,0.0003,0.001953125,1.0069923400878906,0.0,0.2,10523772.45,0.0032932183
75776,1001.0133333333333,-170033.78636004002,782,96,74,3508235.25,-0.005340321842231788,730,-7.12992115020752,0.0003,0.018359375,1.0073448419570923,0.0,0.2,7101092.1,0.005931824
76800,1001.0131578947369,-170131.99220427632,793,96,75,3985630.5,-0.0015272729157004505,740,-7.131485813856125,0.0003,0.0,1.0076488256454468,0.0,0.2,7718123.66875,0.0014680154
77824,1001.012987012987,-169823.0943875195,803,96,76,3058137.5,-0.004057410282257479,750,-7.134388607740402,0.0003,0.007421875,1.0084882974624634,5.960464477539063e-08,0.2,6210726.78125,0.00455689
78848,1001.0128205128206,-169750.6532405385,814,96,77,4630732.0,-0.00371974672016222,760,-7.138348537683487,0.0003,0.0046875,1.0092089176177979,0.0,0.2,9003649.34375,0.0035656155
79872,1001.0126582278481,-169933.87573141773,824,96,78,3815349.5,-0.0035569789411965757,770,-7.141098773479461,0.0003,0.005078125,1.0096113681793213,0.0,0.2,7877466.8125,0.0037360976
80896,1001.0125,-169687.569965625,835,96,79,4197150.0,-0.0032783303235191853,780,-7.14134396314621,0.0003,0.0072265625,1.0093225240707397,0.0,0.2,7583617.3375,0.0043486236
81920,1001.0123456790124,-169698.9750387037,846,96,80,4076871.75,-0.0034977558651007714,790,-7.141831016540527,0.0003,0.00703125,1.0098702907562256,-1.1920928955078125e-07,0.2,8024985.85625,0.004066737
82944,1001.0121951219512,-169609.92886899997,856,96,81,3995192.5,-0.0011375171568943187,800,-7.142273825407028,0.0003,0.0,1.009441614151001,0.0,0.2,7752456.86875,0.0011967479
83968,1001.0120481927711,-169780.69214207225,867,96,82,4624545.5,-0.005272199009777978,810,-7.138829547166824,0.0003,0.0115234375,1.0085300207138062,0.0,0.2,8713747.86875,0.005524181
84992,1001.0119047619048,-170415.5812608452,877,96,83,6059273.0,-0.0017063261475414038,820,-7.136398303508758,0.0003,0.0,1.0085976123809814,-2.384185791015625e-07,0.2,12476979.0125,0.0013814138
86016,1001.0117647058823,-170622.07167781173,888,96,84,5777994.5,-0.0023729746375465766,830,-7.136429178714752,0.0003,0.00029296875,1.0083423852920532,0.0,0.2,10922845.575,0.0020588804
87040,1001.0116279069767,-170941.09826016275,898,96,85,5657491.0,-0.005234409362310543,840,-7.135226505994797,0.0003,0.00908203125,1.0081312656402588,-1.1920928955078125e-07,0.2,11262668.6125,0.0046755034
88064,1001.0114942528736,-171041.82585160917,909,96,86,4820011.0,-0.0014378960360772908,850,-7.129897731542587,0.0003,0.0,1.0060245990753174,0.0,0.2,9799120.45,0.0013219828
89088,1001.0113636363636,-170939.39143802272,920,96,87,3629560.25,-0.00498606184264645,860,-7.125418847799301,0.0003,0.012109375,1.0067975521087646,-1.1920928955078125e-07,0.2,7169679.425,0.0055880984
90112,1001.0111111111111,-171589.2658662,931,96,88,5191680.0,-0.0017968930886127054,870,-7.131064486503601,0.0003,0.000390625,1.0081546306610107,-2.384185791015625e-07,0.2,10509747.225,0.0013553292
91136,1001.010989010989,-171698.46506979121,941,96,89,5821232.0,-0.0018186268309364096,880,-7.1366339206695555,0.0003,0.0001953125,1.0089551210403442,5.960464477539063e-08,0.2,12003738.3625,0.0013414301
92160,1001.0108695652174,-172256.90156273913,951,96,90,4537541.5,-0.00419271569699049,890,-7.139056158065796,0.0003,0.00771484375,1.0089975595474243,0.0,0.2,9318528.05,0.003941767
93184,1001.010752688172,-172776.11096982795,962,96,91,7285030.5,-0.004087884176988155,900,-7.136771792173386,0.0003,0.00341796875,1.008007287979126,-1.1920928955078125e-07,0.2,14794793.425,0.0033860104
94208,1001.0106382978723,-173020.84622645745,972,96,92,6776740.0,-0.00557317643542774,910,-7.132573264837265,0.0003,0.00810546875,1.0074472427368164,-1.1920928955078125e-07,0.2,13943520.5125,0.004856809
95232,1001.0105263157894,-173099.06489678947,983,96,93,5603873.5,-0.005429437611019239,920,-7.128490847349167,0.0003,0.009375,1.0062791109085083,0.0,0.2,10854204.5375,0.0051216325
96256,1001.0104166666666,-173112.8087094271,993,96,94,4748649.5,-0.002110897484817542,930,-7.122629952430725,0.0003,0.00068359375,1.0051804780960083,-1.1920928955078125e-07,0.2,9067883.95625,0.0022386652
97280,1001.0103092783505,-172811.28645768043,1003,96,95,4545135.0,-0.004400375741533935,940,-7.120260870456695,0.0003,0.00595703125,1.005455493927002,-1.1920928955078125e-07,0.2,8249253.5,0.004217538
98304,1001.0102040816327,-172638.0663087449,1014,96,96,3282718.75,-0.0037603116041282194,950,-7.119864422082901,0.0003,0.00634765625,1.0047258138656616,1.7881393432617188e-07,0.2,6737147.78125,0.0044711246
99328,1001.010101010101,-172543.34868895958,1025,96,97,3449063.5,-0.0038972570560872554,960,-7.119350272417068,0.0003,0.00849609375,1.0055716037750244,-1.1920928955078125e-07,0.2,7227456.94375,0.0045160362
100352,1001.01,-172503.55600462,1035,96,98,3590887.5,-0.0007868574699386955,970,-7.120256197452545,0.0003,0.0,1.0048558712005615,1.1920928955078125e-07,0.2,7037616.5,0.00056098326
101376,1001.0,-172718.66406395004,1045,96,99,5113143.5,-0.003818811947712675,980,-7.118701142072678,0.0003,0.0037109375,1.0052001476287842,0.0,0.2,8979423.91875,0.003731467
102400,1001.0,-172426.41851643004,1056,96,100,3080702.25,-0.0019008915085578337,990,-7.121580338478088,0.0003,0.000390625,1.0058258771896362,0.0,0.2,6486241.43125,0.0015799496
103424,1001.0,-172504.25917610005,1066,96,101,2314590.0,-0.004620580223854631,1000,-7.124875098466873,0.0003,0.01259765625,1.0065423250198364,1.1920928955078125e-07,0.2,4584201.33125,0.0053201453
104448,1001.0,-173118.09753093004,1076,97,102,4249532.5,-0.0053336824872531,1010,-7.1253600239753725,0.0003,0.01044921875,1.0059125423431396,-1.1920928955078125e-07,0.2,8811893.14375,0.005153492
105472,1001.0,-173451.62000844005,1087,97,103,3041703.5,-0.003989729873137548,1020,-7.122051501274109,0.0003,0.0064453125,1.0053107738494873,5.960464477539063e-08,0.2,6473857.15625,0.0043388456
